Product_Id,Material_Id,Date_Id,Total_Emissions,TS
6,4,1619,31.2,2025-09-21 13:27:41.798
12,1,690,49.68,2025-09-21 13:27:41.798
9,1,1362,41.74,2025-09-21 13:27:41.798
10,4,736,32.47,2025-09-21 13:27:41.798
12,1,1480,49.34,2025-09-21 13:27:41.798
6,4,766,7.21,2025-09-21 13:27:41.798
1,4,406,12.22,2025-09-21 13:27:41.798
1,4,531,94.93,2025-09-21 13:27:41.798
2,1,687,75.44,2025-09-21 13:27:41.798
8,1,173,11.04,2025-09-21 13:27:41.798
7,3,732,58.91,2025-09-21 13:27:41.798
10,4,1162,90.85,2025-09-21 13:27:41.798
3,2,389,64.69,2025-09-21 13:27:41.798
5,4,78,66.79,2025-09-21 13:27:41.798
6,2,512,23.28,2025-09-21 13:27:41.798
3,2,152,9.06,2025-09-21 13:27:41.798
5,1,96,10.01,2025-09-21 13:27:41.798
12,4,756,1.38,2025-09-21 13:27:41.798
11,1,1212,95.79,2025-09-21 13:27:41.798
3,4,742,7.41,2025-09-21 13:27:41.798
5,3,638,76.73,2025-09-21 13:27:41.798
8,3,1089,55.03,2025-09-21 13:27:41.798
8,3,1440,50.48,2025-09-21 13:27:41.798
10,3,1666,9.67,2025-09-21 13:27:41.798
2,3,85,2.29,2025-09-21 13:27:41.798
8,3,1258,7.42,2025-09-21 13:27:41.798
1,3,1093,1.92,2025-09-21 13:27:41.798
7,3,1079,97.24,2025-09-21 13:27:41.798
10,1,26,15.74,2025-09-21 13:27:41.798
10,3,1492,60.37,2025-09-21 13:27:41.798
8,2,412,41.77,2025-09-21 13:27:41.798
7,3,1787,74.05,2025-09-21 13:27:41.798
10,2,569,64.02,2025-09-21 13:27:41.798
2,3,605,92.17,2025-09-21 13:27:41.798
1,3,777,67.74,2025-09-21 13:27:41.798
2,4,1357,23.61,2025-09-21 13:27:41.798
9,2,1199,44.18,2025-09-21 13:27:41.798
9,1,1036,51.59,2025-09-21 13:27:41.798
4,1,1161,97.2,2025-09-21 13:27:41.798
11,2,446,1.25,2025-09-21 13:27:41.798
10,2,152,7.42,2025-09-21 13:27:41.798
9,4,1369,84.8,2025-09-21 13:27:41.798
8,3,218,94.6,2025-09-21 13:27:41.798
4,2,467,76.83,2025-09-21 13:27:41.798
7,2,1235,65.46,2025-09-21 13:27:41.798
6,3,1030,81.69,2025-09-21 13:27:41.798
2,2,880,1.23,2025-09-21 13:27:41.798
10,4,1707,26.03,2025-09-21 13:27:41.798
4,4,815,33.7,2025-09-21 13:27:41.798
5,2,1558,10.96,2025-09-21 13:27:41.798
9,3,118,64.87,2025-09-21 13:27:41.798
2,4,1610,82.71,2025-09-21 13:27:41.798
12,3,910,36.17,2025-09-21 13:27:41.798
11,2,659,22.43,2025-09-21 13:27:41.798
5,4,1176,48.07,2025-09-21 13:27:41.798
1,4,1582,23.13,2025-09-21 13:27:41.798
4,4,480,37.37,2025-09-21 13:27:41.798
10,3,1406,74.16,2025-09-21 13:27:41.798
3,2,565,46.61,2025-09-21 13:27:41.798
1,4,930,8.06,2025-09-21 13:27:41.798
5,4,1719,34.18,2025-09-21 13:27:41.798
10,1,911,61.4,2025-09-21 13:27:41.798
3,1,1392,70.54,2025-09-21 13:27:41.798
8,2,446,87.11,2025-09-21 13:27:41.798
8,1,1705,1.55,2025-09-21 13:27:41.798
11,2,754,30.57,2025-09-21 13:27:41.798
10,2,329,75.17,2025-09-21 13:27:41.798
9,3,1303,86.47,2025-09-21 13:27:41.798
7,3,3,89.77,2025-09-21 13:27:41.798
10,4,215,40.52,2025-09-21 13:27:41.798
4,3,258,44.39,2025-09-21 13:27:41.798
8,1,73,39.32,2025-09-21 13:27:41.798
8,1,308,23.28,2025-09-21 13:27:41.798
5,3,456,15.62,2025-09-21 13:27:41.798
12,1,1752,1.26,2025-09-21 13:27:41.798
6,3,1102,76.86,2025-09-21 13:27:41.798
10,4,831,97.98,2025-09-21 13:27:41.798
4,4,1585,82.78,2025-09-21 13:27:41.798
7,2,1281,19.39,2025-09-21 13:27:41.798
9,3,555,76.49,2025-09-21 13:27:41.798
1,1,1320,19.73,2025-09-21 13:27:41.798
3,2,516,34.68,2025-09-21 13:27:41.798
11,1,1466,61.25,2025-09-21 13:27:41.798
8,4,566,69.29,2025-09-21 13:27:41.798
8,1,940,39.42,2025-09-21 13:27:41.798
10,3,1014,27.67,2025-09-21 13:27:41.798
8,2,866,94.48,2025-09-21 13:27:41.798
4,4,700,31.14,2025-09-21 13:27:41.798
11,4,323,58.87,2025-09-21 13:27:41.798
1,3,843,43.03,2025-09-21 13:27:41.798
9,4,604,34.91,2025-09-21 13:27:41.798
8,1,1286,42.29,2025-09-21 13:27:41.798
8,3,1051,76.32,2025-09-21 13:27:41.798
2,1,964,86.39,2025-09-21 13:27:41.798
2,2,1056,52.06,2025-09-21 13:27:41.798
4,4,524,29.84,2025-09-21 13:27:41.798
1,4,388,22.29,2025-09-21 13:27:41.798
9,4,695,95.86,2025-09-21 13:27:41.798
7,1,1154,99.78,2025-09-21 13:27:41.798
5,4,14,55.43,2025-09-21 13:27:41.798
6,1,1084,74.99,2025-09-21 13:27:41.798
7,4,893,73.87,2025-09-21 13:27:41.798
3,1,1465,30.69,2025-09-21 13:27:41.798
12,1,722,86.01,2025-09-21 13:27:41.798
6,3,1161,34.88,2025-09-21 13:27:41.798
12,3,1063,79.54,2025-09-21 13:27:41.798
8,4,389,47.92,2025-09-21 13:27:41.798
9,1,327,26.43,2025-09-21 13:27:41.798
12,3,842,10.47,2025-09-21 13:27:41.798
12,3,6,11.47,2025-09-21 13:27:41.798
5,2,464,27.03,2025-09-21 13:27:41.798
5,4,1109,40.25,2025-09-21 13:27:41.798
8,4,1212,74.31,2025-09-21 13:27:41.798
8,2,1056,32.48,2025-09-21 13:27:41.798
5,3,475,50.06,2025-09-21 13:27:41.798
10,1,8,85.69,2025-09-21 13:27:41.798
1,1,1260,99.16,2025-09-21 13:27:41.798
3,2,323,5.7,2025-09-21 13:27:41.798
1,3,1185,10.9,2025-09-21 13:27:41.798
11,3,943,23.35,2025-09-21 13:27:41.798
8,3,460,36.48,2025-09-21 13:27:41.798
2,2,851,15.05,2025-09-21 13:27:41.798
8,2,301,78.7,2025-09-21 13:27:41.798
10,3,1574,37.87,2025-09-21 13:27:41.798
9,1,1200,7.12,2025-09-21 13:27:41.798
11,3,458,72.68,2025-09-21 13:27:41.798
5,4,475,35.62,2025-09-21 13:27:41.798
1,2,1365,49.39,2025-09-21 13:27:41.798
2,3,1808,71.0,2025-09-21 13:27:41.798
10,4,450,54.74,2025-09-21 13:27:41.798
9,2,1077,25.73,2025-09-21 13:27:41.798
3,2,710,75.53,2025-09-21 13:27:41.798
4,2,963,43.29,2025-09-21 13:27:41.798
2,4,346,94.17,2025-09-21 13:27:41.798
3,4,1053,96.78,2025-09-21 13:27:41.798
8,3,1812,4.19,2025-09-21 13:27:41.798
3,4,1004,48.38,2025-09-21 13:27:41.798
11,4,1810,9.05,2025-09-21 13:27:41.798
7,1,1798,42.76,2025-09-21 13:27:41.798
1,1,238,15.9,2025-09-21 13:27:41.798
10,4,208,56.14,2025-09-21 13:27:41.798
3,4,395,66.78,2025-09-21 13:27:41.798
7,2,255,94.99,2025-09-21 13:27:41.798
7,4,1438,34.36,2025-09-21 13:27:41.798
3,4,1170,51.33,2025-09-21 13:27:41.798
8,4,210,87.64,2025-09-21 13:27:41.798
8,3,431,25.87,2025-09-21 13:27:41.798
1,1,1032,65.17,2025-09-21 13:27:41.798
7,3,1042,17.31,2025-09-21 13:27:41.798
6,3,755,35.91,2025-09-21 13:27:41.798
2,4,87,79.33,2025-09-21 13:27:41.798
11,2,1342,5.23,2025-09-21 13:27:41.798
5,2,321,63.74,2025-09-21 13:27:41.798
7,2,1544,76.65,2025-09-21 13:27:41.798
1,4,1822,81.77,2025-09-21 13:27:41.798
7,4,1720,45.89,2025-09-21 13:27:41.798
6,3,797,71.45,2025-09-21 13:27:41.798
2,3,1508,16.99,2025-09-21 13:27:41.798
3,2,44,62.12,2025-09-21 13:27:41.798
2,4,483,87.27,2025-09-21 13:27:41.798
6,4,56,88.33,2025-09-21 13:27:41.798
5,3,1257,43.54,2025-09-21 13:27:41.798
11,3,1286,28.1,2025-09-21 13:27:41.798
1,2,1331,84.98,2025-09-21 13:27:41.798
8,4,192,26.04,2025-09-21 13:27:41.798
9,3,1717,9.38,2025-09-21 13:27:41.798
10,1,106,44.83,2025-09-21 13:27:41.798
6,1,1251,51.99,2025-09-21 13:27:41.798
8,1,1190,7.38,2025-09-21 13:27:41.798
1,2,1498,46.2,2025-09-21 13:27:41.798
10,4,1285,29.65,2025-09-21 13:27:41.798
4,1,140,51.52,2025-09-21 13:27:41.798
10,3,1566,41.19,2025-09-21 13:27:41.798
2,1,474,96.49,2025-09-21 13:27:41.798
5,1,1441,53.15,2025-09-21 13:27:41.798
5,2,1715,18.23,2025-09-21 13:27:41.798
12,3,233,37.27,2025-09-21 13:27:41.798
7,4,1716,36.14,2025-09-21 13:27:41.798
9,4,1707,40.83,2025-09-21 13:27:41.798
12,1,1432,95.89,2025-09-21 13:27:41.798
9,3,884,97.73,2025-09-21 13:27:41.798
12,1,1150,94.26,2025-09-21 13:27:41.798
10,3,602,70.86,2025-09-21 13:27:41.798
3,1,1068,3.83,2025-09-21 13:27:41.798
8,2,255,41.44,2025-09-21 13:27:41.798
6,1,1395,93.18,2025-09-21 13:27:41.798
6,1,617,82.88,2025-09-21 13:27:41.798
5,2,96,66.32,2025-09-21 13:27:41.798
6,3,285,26.7,2025-09-21 13:27:41.798
9,3,1089,51.0,2025-09-21 13:27:41.798
6,3,115,68.07,2025-09-21 13:27:41.798
9,2,1239,61.36,2025-09-21 13:27:41.798
12,1,1791,50.18,2025-09-21 13:27:41.798
2,4,827,2.2,2025-09-21 13:27:41.798
2,1,857,47.61,2025-09-21 13:27:41.798
9,3,1664,27.34,2025-09-21 13:27:41.798
8,3,308,69.72,2025-09-21 13:27:41.798
1,2,11,54.7,2025-09-21 13:27:41.798
11,4,1568,78.9,2025-09-21 13:27:41.798
4,4,1525,57.97,2025-09-21 13:27:41.798
5,2,10,70.24,2025-09-21 13:27:41.798
3,1,1128,83.85,2025-09-21 13:27:41.798
1,1,1159,53.42,2025-09-21 13:27:41.798
12,1,1695,95.19,2025-09-21 13:27:41.798
4,2,1683,31.94,2025-09-21 13:27:41.798
6,1,1677,75.3,2025-09-21 13:27:41.798
2,2,1354,52.32,2025-09-21 13:27:41.798
3,1,75,8.84,2025-09-21 13:27:41.798
5,4,1372,30.74,2025-09-21 13:27:41.798
4,4,214,62.86,2025-09-21 13:27:41.798
1,3,1590,65.08,2025-09-21 13:27:41.798
7,2,171,8.11,2025-09-21 13:27:41.798
1,3,1671,40.28,2025-09-21 13:27:41.798
8,4,394,6.72,2025-09-21 13:27:41.798
3,3,165,51.65,2025-09-21 13:27:41.798
11,1,1015,19.26,2025-09-21 13:27:41.798
9,2,1496,74.66,2025-09-21 13:27:41.798
4,2,188,42.13,2025-09-21 13:27:41.798
1,3,1801,32.3,2025-09-21 13:27:41.798
9,4,438,64.8,2025-09-21 13:27:41.798
5,3,1555,65.2,2025-09-21 13:27:41.798
3,1,107,72.77,2025-09-21 13:27:41.798
10,2,22,89.65,2025-09-21 13:27:41.798
1,3,1092,38.71,2025-09-21 13:27:41.798
4,1,510,47.7,2025-09-21 13:27:41.798
9,2,1039,84.88,2025-09-21 13:27:41.798
2,3,21,86.56,2025-09-21 13:27:41.798
11,2,1004,22.58,2025-09-21 13:27:41.798
5,1,381,62.92,2025-09-21 13:27:41.798
12,4,982,41.73,2025-09-21 13:27:41.798
4,1,266,59.55,2025-09-21 13:27:41.798
4,4,555,55.29,2025-09-21 13:27:41.798
12,2,963,30.49,2025-09-21 13:27:41.798
11,2,1813,79.5,2025-09-21 13:27:41.798
12,4,1388,51.96,2025-09-21 13:27:41.798
7,2,913,27.12,2025-09-21 13:27:41.798
8,2,1102,64.89,2025-09-21 13:27:41.798
4,2,43,66.43,2025-09-21 13:27:41.798
6,1,1316,44.01,2025-09-21 13:27:41.798
4,3,1181,43.98,2025-09-21 13:27:41.798
3,2,747,18.74,2025-09-21 13:27:41.798
5,4,86,65.39,2025-09-21 13:27:41.798
5,3,1059,91.42,2025-09-21 13:27:41.798
1,1,941,6.09,2025-09-21 13:27:41.798
4,2,1259,73.68,2025-09-21 13:27:41.798
4,2,1015,33.48,2025-09-21 13:27:41.798
9,3,1245,90.86,2025-09-21 13:27:41.798
4,4,1747,9.36,2025-09-21 13:27:41.798
6,2,393,6.5,2025-09-21 13:27:41.798
7,2,1823,53.06,2025-09-21 13:27:41.798
8,3,1601,93.81,2025-09-21 13:27:41.798
6,3,718,97.03,2025-09-21 13:27:41.798
2,1,1299,24.2,2025-09-21 13:27:41.798
8,4,167,85.24,2025-09-21 13:27:41.798
1,3,245,66.04,2025-09-21 13:27:41.798
11,4,908,64.9,2025-09-21 13:27:41.798
11,4,181,85.68,2025-09-21 13:27:41.798
3,4,724,93.17,2025-09-21 13:27:41.798
9,3,845,44.37,2025-09-21 13:27:41.798
3,4,965,6.22,2025-09-21 13:27:41.798
2,1,494,55.2,2025-09-21 13:27:41.798
5,3,1050,21.01,2025-09-21 13:27:41.798
1,1,745,85.48,2025-09-21 13:27:41.798
